Quant_Bits,Original_KB,Encoded_KB,Encoded_Bytes,Ratio,Space_Savings_%,Enc_Time_s,Dec_Time_s,Total_Time_s,SNR_dB,MSE,Max_Error
4,5055.46,1263.87,1294203,4.0000,75.00,0.0370,0.0291,0.0661,N/A,N/A,N/A
6,5055.46,1895.80,1941297,2.6667,62.50,0.0373,0.0366,0.0739,N/A,N/A,N/A
8,5055.46,2527.73,2588391,2.0000,50.00,0.0418,0.0405,0.0823,N/A,N/A,N/A
10,5055.46,3159.65,3235485,1.6000,37.50,0.0532,0.0485,0.1016,N/A,N/A,N/A
12,5055.46,3791.58,3882579,1.3333,25.00,0.0604,0.0554,0.1158,N/A,N/A,N/A
14,5055.46,4423.51,4529673,1.1429,12.50,0.0667,0.0594,0.1261,N/A,N/A,N/A
16,5055.46,5055.44,5176767,1.0000,0.00,0.0716,0.0820,0.1535,N/A,N/A,N/A
