Quant_Bits,Original_KB,Encoded_KB,Encoded_Bytes,Ratio,Space_Savings_%,Enc_Time_s,Dec_Time_s,Total_Time_s,SNR_dB,MSE,Max_Error
4,3562.50,890.63,912003,4.0000,75.00,0.0257,0.0228,0.0485,N/A,N/A,N/A
6,3562.50,1335.93,1367997,2.6667,62.50,0.0263,0.0259,0.0522,N/A,N/A,N/A
8,3562.50,1781.24,1823991,2.0000,50.00,0.0337,0.0332,0.0669,N/A,N/A,N/A
10,3562.50,2226.55,2279985,1.6000,37.50,0.0364,0.0383,0.0748,N/A,N/A,N/A
12,3562.50,2671.85,2735979,1.3333,25.00,0.0424,0.0398,0.0823,N/A,N/A,N/A
14,3562.50,3117.16,3191973,1.1429,12.50,0.0447,0.0451,0.0898,N/A,N/A,N/A
16,3562.50,3562.47,3647967,1.0000,0.00,0.0479,0.0461,0.0940,N/A,N/A,N/A
