Quant_Bits,Original_KB,Encoded_KB,Encoded_Bytes,Ratio,Space_Savings_%,Enc_Time_s,Dec_Time_s,Total_Time_s,SNR_dB,MSE,Max_Error
4,3447.65,861.92,882603,4.0000,75.00,0.0284,0.0232,0.0516,N/A,N/A,N/A
6,3447.65,1292.87,1323897,2.6667,62.50,0.0262,0.0276,0.0538,N/A,N/A,N/A
8,3447.65,1723.82,1765191,2.0000,50.00,0.0332,0.0314,0.0646,N/A,N/A,N/A
10,3447.65,2154.77,2206485,1.6000,37.50,0.0355,0.0366,0.0721,N/A,N/A,N/A
12,3447.65,2585.72,2647779,1.3333,25.00,0.0406,0.0381,0.0786,N/A,N/A,N/A
14,3447.65,3016.67,3089073,1.1429,12.50,0.0435,0.0426,0.0861,N/A,N/A,N/A
16,3447.65,3447.62,3530367,1.0000,0.00,0.0465,0.0461,0.0926,N/A,N/A,N/A
