Quant_Bits,Original_KB,Encoded_KB,Encoded_Bytes,Ratio,Space_Savings_%,Enc_Time_s,Dec_Time_s,Total_Time_s,SNR_dB,MSE,Max_Error
4,2299.21,574.81,588603,4.0000,75.00,0.0215,0.0148,0.0363,N/A,N/A,N/A
6,2299.21,862.20,882897,2.6667,62.50,0.0200,0.0195,0.0396,N/A,N/A,N/A
8,2299.21,1149.60,1177191,2.0000,50.00,0.0208,0.0234,0.0442,N/A,N/A,N/A
10,2299.21,1437.00,1471485,1.6000,37.50,0.0284,0.0249,0.0533,N/A,N/A,N/A
12,2299.21,1724.39,1765779,1.3333,25.00,0.0275,0.0263,0.0538,N/A,N/A,N/A
14,2299.21,2011.79,2060073,1.1429,12.50,0.0347,0.0317,0.0664,N/A,N/A,N/A
16,2299.21,2299.19,2354367,1.0000,0.00,0.0343,0.0323,0.0665,N/A,N/A,N/A
