QuantBits,OriginalSize,EncodedSize,CompressionRatio,SpaceSavings,EncodingTime_s,DecodingTime_s,TotalTime_s,SNR_dB,MSE,MaxError
32,2588420,1031437,2.509528,0.601519,0.038000,0.040000,0.078000,0.000000,0.000000,0.000000
16,2588420,515725,5.018993,0.800757,0.036000,0.037000,0.073000,0.000000,0.000000,0.000000
8,2588420,257869,10.037732,0.900376,0.033000,0.035000,0.068000,0.000000,0.000000,0.000000
4,2588420,128941,20.074453,0.950185,0.032000,0.028000,0.060000,0.000000,0.000000,0.000000
